,X1,X2,Alignment
0,17.792475,15.0057,good
1,-0.76727164,-19.132103,good
2,18.941578,28.456375,good
3,-16.092651,-10.013321,good
4,-11.307132,-19.667076,bad
5,-23.852669,-21.599972,bad
6,3.2075028,-2.0026722,good
7,22.82108,11.8962345,
8,-2.5591958,-5.41574,
9,-26.627216,-18.741247,good
10,-3.9968388,-19.60024,good
11,15.994357,20.268286,bad
12,-22.971542,-25.784462,good
13,-2.8499215,6.302601,
14,13.047592,10.89972,good
15,-3.0154102,-6.979175,
16,-12.484273,-9.792412,bad
17,10.588772,19.344936,
18,15.332034,14.16555,
19,-19.251242,-15.715325,good
20,-14.980485,-16.442331,good
21,-21.300888,-15.912464,
22,21.290716,10.587992,good
23,-1.694558,-7.116251,bad
24,-11.144271,-18.570509,good
25,-3.3433022,6.3889046,good
26,-10.437899,-5.4854946,bad
27,-12.395442,-19.152586,
28,18.320194,7.204229,
29,-5.1819773,-17.568483,bad
30,-5.3887525,-19.479101,good
31,15.911749,11.573478,good
32,-9.51627,10.3571,good
33,-0.03203022,-2.4333198,
34,18.86404,22.587225,good
35,5.373242,-11.856612,bad
36,9.227177,9.002162,good
37,2.4364944,-16.637083,good
38,23.268702,27.23504,good
39,17.950344,25.283613,
40,20.702978,29.169199,
41,20.09978,27.995548,good
42,-3.5040934,-13.557943,
43,5.1660686,-11.745633,good
44,0.038409077,1.755573,
45,5.2460876,22.400833,
46,-17.7281,-14.934351,
47,-21.591139,-15.356658,
48,-7.944678,-21.789368,good
49,19.412426,17.98001,bad
50,16.534206,24.850079,good
51,-5.42659,2.4476078,
52,19.851343,14.214351,bad
53,2.8330245,-0.6361267,good
54,-23.135942,-24.84485,good
55,-24.646458,-21.848091,
56,-26.02996,-20.341051,
57,16.138031,23.545042,
58,7.4855127,1.6734985,good
59,9.511293,9.154332,
60,4.650275,10.18337,good
61,22.270004,28.686144,good
62,20.590971,26.452291,good
63,-0.02088184,-9.479577,good
64,19.546844,15.885728,
65,17.297203,7.5353966,good
66,23.42851,24.898563,good
67,6.2172904,-4.2813244,
68,11.125473,11.120103,good
69,12.942748,9.911128,good
70,-1.2946261,-17.760998,good
71,-16.866196,-14.0441265,good
72,1.6578202,0.46249667,good
73,-0.86973995,1.3349293,bad
74,12.209769,8.492037,good
75,-13.507216,-7.764545,
76,-8.557981,-2.0975258,
77,-12.663997,-14.049641,good
78,6.242535,17.801657,
79,8.884563,0.89001155,
80,17.565002,10.428301,
81,18.196514,19.44925,good
82,0.80428535,11.017896,neutral
83,-11.044686,-2.5950003,
84,10.528452,11.426853,bad
85,0.030108228,-0.8091547,good
86,23.63511,26.740572,
87,-9.607343,-10.978042,
88,-16.753319,-22.843592,good
89,-7.114273,-23.133213,
90,-14.717711,-17.086578,good
91,19.445837,24.056093,good
92,-12.764657,-17.665022,bad
93,4.532412,-1.0522718,good
94,11.565164,19.411074,good
95,6.746254,9.346729,
96,-9.030446,-9.823848,bad
97,4.3160076,-3.6291425,bad
98,2.505172,2.1724827,
99,-9.0329275,-21.240553,good
100,9.524033,15.627178,
101,-8.617372,-14.512491,good
102,-22.784126,-24.099901,good
103,4.8344207,11.25013,
104,7.563663,9.9979,
105,20.13239,8.247294,bad
106,6.9162846,13.078529,bad
107,0.04248068,-5.385551,bad
108,8.574126,-4.119224,good
109,-19.988478,-14.774901,
110,12.117608,9.925915,
111,-3.3803334,11.494578,
112,6.950056,8.874338,
113,1.685715,-2.938055,good
114,-0.6880658,-3.1876068,
115,9.939171,12.000309,
116,1.1269227,-9.090416,good
117,1.3457128,-11.649485,
118,-11.097247,-4.4235983,good
119,-16.849417,-18.741028,
120,8.511493,3.0380013,
121,-7.8595986,-22.594793,good
122,-3.3595014,-3.205401,bad
123,23.747564,11.774592,good
124,-2.546077,-1.6697747,
125,-3.0977309,-2.1833522,bad
126,8.97973,11.57176,good
127,-20.502644,-22.531258,
128,-6.0710955,-9.086162,good
129,-22.730797,-23.1351,good
130,-2.5574894,-0.95457363,bad
131,-18.29359,-22.045813,good
132,9.697325,-5.777202,good
133,3.0706253,3.296053,good
134,7.5336266,13.2918415,
135,13.821415,6.943608,good
136,6.150896,-2.5885878,
137,-9.008023,-15.56853,
138,0.10777685,-5.2212567,good
139,-15.872933,-7.143769,good
140,18.841894,15.858092,
141,-23.234236,-21.13174,
142,-21.66095,-23.305285,bad
143,18.521412,16.254673,
144,-7.1584425,-19.519266,
145,15.469514,6.1053987,good
146,-26.550936,-15.607544,
147,0.90071154,3.2511692,good
148,-2.2456543,1.6014256,
149,-6.6328974,9.128488,good
150,-7.1246357,8.7672415,bad
151,-6.829624,8.26583,bad
152,-7.1067824,9.908357,
153,15.357967,19.348116,
154,23.325977,10.798063,
155,-1.2299016,-14.850396,
156,-23.279453,-22.46709,good
157,8.237879,12.189371,good
158,20.339924,6.3761773,
159,-24.645897,-24.854832,good
160,-4.690955,-16.4854,
161,-6.4416065,-23.41607,
162,5.6351275,9.589872,
163,-0.6026993,-9.693186,good
164,-21.114557,-25.509565,
165,12.451629,4.5963764,
166,19.26283,25.431253,
167,-7.0803146,1.6434124,good
168,-7.314008,1.3101095,
169,-17.615505,-11.680526,
170,-15.797507,-11.364757,good
171,-17.277916,-10.235781,bad
172,-25.894,-16.101715,good
173,17.68134,27.6237,
174,4.5821085,0.9689661,good
175,1.5224177,-14.543888,
176,18.761448,21.424131,good
177,16.697416,19.049887,good
178,0.18069015,-1.5557308,good
179,-0.64756286,-13.574583,good
180,19.946884,18.665594,bad
181,-11.993462,-20.256084,
182,21.830132,14.678071,good
183,3.6879783,12.35278,good
184,-11.142892,-22.856213,good
185,0.82824,2.516812,good
186,20.410456,25.189253,neutral
187,-3.5464437,-13.594587,bad
188,4.9349065,-1.9161597,good
189,-14.403089,-22.070015,neutral
190,-0.7586015,-1.469253,bad
191,-8.1644335,9.638291,bad
192,12.31813,6.426791,good
193,3.7173584,0.4683193,good
194,22.38225,27.330433,bad
195,-20.969254,-19.210588,bad
196,-7.5482736,-16.03734,good
197,-6.7087755,-5.4264836,
198,-8.1842785,7.446061,good
199,6.8679514,-8.13252,good
200,-21.320272,-20.67546,
201,6.24277,10.372566,bad
202,9.698296,-5.877797,bad
203,11.51705,21.606113,bad
204,-15.981083,-11.233886,good
205,6.1524215,11.632934,bad
206,18.626818,30.14664,good
207,15.039862,14.443827,bad
208,8.42859,13.082031,good
209,-9.434854,-18.881935,bad
210,3.7026572,-5.0746417,good
211,6.4534326,-1.2741017,good
212,-11.924891,-14.700717,
213,4.8326125,22.109306,
214,21.659128,14.446213,bad
215,-3.4677627,11.420379,bad
216,0.831776,-15.473943,
217,-16.98335,-8.328313,good
218,16.190529,26.01107,bad
219,1.5178864,-7.1079683,bad
220,22.663654,11.077269,good
221,22.214846,20.98986,
222,23.14724,24.001778,good
223,-27.449785,-17.004986,good
224,7.2250066,17.688782,good
225,20.051638,9.135903,good
226,11.624821,20.877848,good
227,14.742511,8.10734,
228,14.893771,8.862814,
229,13.829399,7.4351554,good
230,-6.9021707,1.2049038,good
231,1.1986182,-15.793538,good
232,-19.4797,-16.019825,good
233,-9.924611,-14.827713,good
234,9.4107485,13.731672,
235,-0.29599547,-15.256073,good
236,-5.515905,10.669934,bad
237,-2.6895123,-8.691943,
238,0.41374764,-8.4033375,neutral
239,-18.970737,-14.885708,good
240,-0.682063,-6.303434,
241,-22.2538,-22.044395,good
242,-1.386018,5.9027963,bad
243,2.674675,-4.0706267,
244,-10.31163,-3.0450628,good
245,1.6481515,11.362769,
246,-24.361208,-23.788605,
247,-16.358183,-8.342231,
248,-12.424702,-18.912724,bad
249,-23.643147,-19.957363,bad
250,9.417956,15.580093,bad
251,7.420204,11.687861,good
252,-13.143398,-10.224061,
253,19.38602,7.5293026,
254,1.2336841,-9.255687,
255,12.122009,8.256285,
256,-22.072567,-16.442348,
257,-5.427896,-11.907712,good
258,-7.3219576,-15.162619,good
259,4.354481,18.188139,bad
260,19.728024,6.799233,bad
261,17.196573,11.598187,
262,-13.336409,-7.5038543,
263,4.4115605,-5.2826324,good
264,-23.590645,-17.679981,
265,17.611216,30.815918,good
266,7.4535537,-4.5218034,good
267,4.591438,16.082958,good
268,-5.751154,-18.09059,bad
269,10.516912,13.367225,good
270,22.214252,19.849487,good
271,-14.453607,-9.315619,good
272,-12.015577,-5.119128,good
273,5.9045963,7.036191,good
274,0.62638515,-17.60925,
275,-13.837527,-9.691217,
276,0.3216311,-17.028297,
277,8.485035,0.9459417,
278,5.946914,8.401918,good
279,5.6989627,2.5255287,good
280,-10.091478,-8.255079,
281,-7.603129,-11.189854,good
282,-17.41609,-13.998753,
283,21.288305,26.467813,good
284,10.848761,13.145845,
285,20.46041,27.825207,
286,-10.153663,-3.6871953,good
287,19.536243,6.301545,
288,-9.537479,10.366913,good
289,-21.073097,-21.686058,good
290,-27.226803,-18.065014,good
291,1.1446252,-2.695043,good
292,-19.470592,-16.914165,bad
293,17.19584,25.133476,good
294,-16.872599,-21.463852,good
295,13.717924,19.06922,good
296,7.3960776,7.3553963,good
297,15.400396,9.600649,good
298,-20.926794,-20.583136,good
299,-3.804552,-18.218998,good
300,15.452162,8.546692,bad
301,7.7226,15.87597,
302,-15.989581,-22.692022,good
303,4.8912973,16.14542,
304,-5.985412,2.158721,good
305,20.781147,22.450975,good
306,18.873459,8.935002,good
307,17.29836,26.439413,good
308,-8.289186,8.8778515,
309,22.35048,10.348997,
310,20.36881,29.71381,good
311,20.544167,6.877242,good
312,5.7851205,-1.0176865,
313,18.518183,23.208986,good
314,19.827955,25.89395,good
315,-9.534573,-19.557642,bad
316,21.143946,15.160891,good
317,18.015886,26.54155,good
318,17.324978,23.507421,neutral
319,-1.7881554,2.0576322,bad
320,-6.645549,-9.766173,good
321,19.47238,27.027372,bad
322,10.933424,21.300907,bad
323,18.664646,27.358961,good
324,18.69939,26.278847,good
325,15.869535,22.917797,
326,18.62692,18.137184,bad
327,4.315162,12.213758,good
328,20.509418,21.327093,bad
329,17.980719,24.45813,bad
330,-0.16444103,-12.7588,good
331,14.536771,20.383194,bad
332,-7.9531975,-18.138987,bad
333,-8.139489,-0.54567057,good
334,-6.5166516,-13.010732,
335,9.207858,17.20378,
336,-3.8439102,-9.420764,bad
337,-6.941739,-5.2420382,good
338,5.370574,17.922632,bad
339,17.441092,12.577505,good
340,-4.5931063,-10.9459715,good
341,-22.834278,-18.348333,bad
342,-1.7591065,-2.731924,bad
343,5.195089,12.201859,
344,22.450148,25.947937,bad
345,-2.8364868,-10.966663,bad
346,-9.601773,-22.716368,bad
347,4.588993,0.16105251,good
348,15.554132,10.984564,good
349,-8.359293,-3.2218974,
350,-25.556894,-18.66933,good
351,17.316599,13.892013,
352,-17.864313,-10.466102,bad
353,18.661882,8.533936,good
354,14.523938,10.264768,bad
355,-8.509994,-19.925554,good
356,11.365331,5.7397604,bad
357,21.840086,18.22778,neutral
358,-3.9586236,-21.164568,good
359,5.8706813,6.620651,good
360,9.308229,7.5486403,bad
361,-16.400871,-16.142324,good
362,-2.7869005,-10.240172,good
363,-12.286442,-15.290176,
364,10.590832,4.8334813,good
365,12.363231,4.0360947,bad
366,7.7997127,-1.4883786,good
367,-23.99463,-25.266783,good
368,-7.8678446,-19.158533,bad
369,1.9578816,-5.935347,good
370,-15.690001,-21.285242,good
371,14.0209,16.301882,good
372,3.6742606,10.4629345,bad
373,-9.420215,-10.398301,good
374,-14.610654,-5.832247,bad
375,6.003111,22.812435,
376,-24.38727,-20.635187,
377,-23.881578,-24.178234,good
378,-24.173235,-22.986364,good
379,-25.068733,-24.011719,good
380,-7.9285574,-16.453165,good
381,3.639254,13.490866,
382,-14.117539,-5.406619,good
383,10.975712,9.407833,good
384,-20.563522,-14.777145,good
385,19.577967,17.455835,bad
386,17.461899,22.33352,bad
387,-8.383552,-23.183176,
388,-22.253962,-24.894318,
389,-23.449425,-19.52021,
390,21.470081,19.132395,
391,-7.6791034,-12.673046,bad
392,0.34773487,-18.597954,
393,1.3148857,-18.31204,good
394,23.989517,24.295187,good
395,10.613001,20.85425,good
396,-1.1711133,5.094687,bad
397,-14.906419,-18.26184,
398,14.243801,13.410829,bad
399,12.111875,20.641775,good
400,-8.198148,-10.854757,good
401,-20.797794,-17.005585,good
402,-6.6946645,-18.889149,good
403,-4.216183,7.3402796,bad
404,-14.370543,-16.273632,bad
405,-4.5819798,-12.285794,
406,-7.158447,-17.703701,good
407,-5.770307,-11.790336,good
408,7.1398263,22.440577,good
409,-18.776302,-19.73369,
410,-3.2746887,4.893502,good
411,10.944617,-3.5693786,good
412,-17.65697,-17.87528,good
413,-13.648495,-14.722,good
414,14.00756,8.718523,good
415,-7.5548663,-10.384786,
416,-3.296673,6.8896475,good
417,-21.564257,-19.692446,good
418,3.0122647,-4.8757396,good
419,13.526294,11.439228,good
420,-1.5302544,-5.8331122,
421,18.221064,13.816645,
422,0.6993923,-11.9344225,bad
423,-7.1434174,-22.589857,good
424,-15.403372,-21.837896,good
425,-11.538668,-22.721422,
426,22.661999,14.139377,
427,1.656967,-11.394448,
428,-15.630058,-15.869531,
429,11.21604,20.309988,bad
430,16.107224,13.322412,good
431,-4.5161476,-20.396212,
432,3.2505076,13.481257,good
433,-6.2225246,10.02698,good
